iter	Passed	Remaining
424	1352	1829
425	1353	1824
426	1355	1818
427	1356	1812
428	1357	1806
429	1358	1801
430	1359	1795
431	1366	1796
432	1367	1790
433	1368	1784
434	1369	1778
435	1370	1773
436	1371	1767
437	1373	1761
438	1374	1756
439	1375	1750
440	1377	1746
441	1379	1741
442	1380	1735
443	1382	1730
444	1383	1725
445	1384	1720
446	1385	1714
447	1396	1720
448	1398	1715
449	1400	1711
450	1401	1705
451	1402	1700
452	1404	1695
453	1409	1695
454	1411	1690
455	1412	1685
456	1414	1680
457	1415	1674
458	1416	1669
459	1417	1664
460	1419	1659
461	1424	1658
462	1425	1653
463	1427	1648
464	1428	1643
465	1429	1638
466	1430	1632
467	1432	1627
468	1433	1622
469	1434	1617
470	1438	1615
471	1439	1610
472	1441	1605
473	1442	1600
474	1443	1595
475	1444	1590
476	1445	1585
477	1447	1580
478	1448	1575
479	1449	1570
480	1455	1570
481	1456	1565
482	1457	1560
483	1458	1555
484	1460	1550
485	1461	1545
486	1462	1540
487	1463	1535
488	1465	1531
489	1468	1528
490	1469	1523
491	1471	1519
492	1472	1514
493	1473	1509
494	1475	1504
495	1476	1500
496	1477	1495
497	1478	1490
498	1479	1485
499	1484	1484
500	1486	1480
501	1487	1475
502	1488	1471
503	1490	1466
504	1491	1462
505	1492	1457
506	1494	1452
507	1495	1448
508	1498	1445
509	1503	1444
510	1504	1439
511	1506	1435
512	1507	1431
513	1508	1426
514	1510	1422
515	1515	1421
516	1517	1417
517	1518	1413
518	1519	1408
519	1520	1403
520	1522	1399
521	1523	1394
522	1524	1390
523	1525	1385
524	1529	1384
525	1531	1379
526	1532	1375
527	1533	1371
528	1535	1366
529	1536	1362
530	1537	1358
531	1538	1353
532	1539	1349
533	1541	1344
534	1546	1344
535	1547	1339
536	1548	1335
537	1549	1331
538	1551	1326
539	1552	1322
540	1553	1317
541	1554	1313
542	1555	1309
543	1559	1307
544	1560	1303
545	1562	1299
546	1563	1294
547	1564	1290
548	1566	1286
549	1567	1282
550	1568	1278
551	1569	1273
552	1570	1269
553	1575	1268
554	1577	1264
555	1578	1260
556	1579	1256
557	1581	1252
558	1582	1248
559	1583	1244
560	1584	1240
561	1586	1236
562	1587	1231
563	1590	1229
564	1592	1225
565	1593	1221
566	1594	1217
567	1596	1213
568	1597	1210
569	1598	1206
570	1600	1202
571	1601	1198
572	1606	1197
573	1607	1193
574	1609	1189
575	1610	1185
576	1611	1181
577	1612	1177
578	1613	1173
579	1615	1169
580	1616	1165
581	1617	1161
582	1621	1159
583	1622	1155
584	1623	1151
585	1624	1147
586	1626	1144
587	1627	1140
588	1628	1136
589	1629	1132
590	1630	1128
591	1632	1124
592	1637	1124
593	1638	1120
594	1639	1116
595	1641	1112
596	1642	1108
597	1643	1104
598	1644	1100
599	1645	1097
600	1647	1093
601	1649	1090
602	1650	1086
603	1652	1083
604	1653	1079
605	1654	1075
606	1655	1072
607	1657	1068
608	1658	1064
609	1659	1060
610	1660	1057
611	1661	1053
612	1666	1051
613	1667	1048
614	1668	1044
615	1669	1040
616	1670	1037
617	1672	1033
618	1673	1030
619	1674	1026
620	1675	1022
621	1676	1019
622	1680	1017
623	1682	1013
624	1683	1010
625	1684	1006
626	1685	1002
627	1686	999
628	1688	995
629	1689	992
630	1690	988
631	1691	985
632	1692	981
633	1698	980
634	1700	977
635	1701	973
636	1702	970
637	1704	966
638	1705	963
639	1706	959
640	1707	956
641	1711	954
642	1712	950
643	1713	947
644	1715	943
645	1716	940
646	1717	936
647	1718	933
648	1719	930
649	1720	926
650	1722	923
651	1723	919
652	1729	918
653	1730	915
654	1731	911
655	1732	908
656	1733	905
657	1734	901
658	1736	898
659	1737	894
660	1738	891
661	1742	889
662	1743	886
663	1744	882
664	1745	879
665	1747	876
666	1748	872
667	1749	869
668	1750	866
669	1751	862
670	1752	859
671	1758	858
672	1759	855
673	1760	851
674	1762	848
675	1763	845
676	1764	841
677	1765	838
678	1766	835
679	1767	831
680	1769	828
681	1770	825
682	1772	822
683	1773	819
684	1774	816
685	1776	812
686	1777	809
687	1778	806
688	1779	803
689	1780	800
690	1782	796
691	1787	795
692	1788	792
693	1790	789
694	1791	786
695	1792	782
696	1793	779
697	1794	776
698	1796	773
699	1797	770
700	1802	768
701	1804	765
702	1805	762
703	1806	759
704	1808	756
705	1809	753
706	1810	750
707	1811	747
708	1812	744
709	1823	745
710	1825	741
711	1826	738
712	1828	736
713	1832	734
714	1833	730
715	1835	727
716	1836	724
717	1837	721
718	1838	718
719	1839	715
720	1841	712
721	1842	709
722	1843	706
723	1849	704
724	1852	702
725	1854	699
726	1855	696
727	1857	693
728	1858	690
729	1859	687
730	1862	685
731	1864	682
732	1865	679
733	1866	676
734	1867	673
735	1869	670
736	1870	667
737	1871	664
738	1873	661
739	1874	658
740	1880	657
741	1882	654
742	1883	651
743	1885	648
744	1887	645
745	1888	642
746	1889	639
747	1895	638
748	1896	635
749	1898	632
750	1900	630
751	1901	627
752	1902	624
753	1904	621
754	1905	618
755	1911	616
756	1912	613
757	1914	611
758	1916	608
759	1917	605
760	1925	604
761	1928	602
762	1929	599
763	1930	596
764	1932	593
765	1933	590
766	1934	587
767	1935	584
768	1940	582
769	1941	579
770	1942	577
771	1943	574
772	1945	571
773	1946	568
774	1947	565
775	1948	562
776	1949	559
777	1950	556
778	1953	554
779	1955	551
780	1956	548
781	1957	545
782	1958	542
783	1959	539
784	1960	537
785	1962	534
786	1963	531
787	1964	528
788	1969	526
789	1971	523
790	1972	521
791	1973	518
792	1974	515
793	1976	512
794	1977	509
795	1978	507
796	1979	504
797	1983	502
798	1984	499
799	1986	496
800	1987	493
801	1988	491
802	1990	488
803	1991	485
804	1992	482
805	1994	480
806	2001	478
807	2003	476
808	2005	473
809	2006	470
810	2008	467
811	2009	465
812	2010	462
813	2014	460
814	2015	457
815	2016	454
816	2018	452
817	2019	449
818	2020	446
819	2021	443
820	2023	441
821	2025	438
822	2034	437
823	2035	434
824	2037	432
825	2038	429
826	2039	426
827	2040	423
828	2044	421
829	2048	419
830	2049	416
831	2050	414
832	2052	411
833	2053	408
834	2054	405
835	2055	403
836	2057	400
837	2059	398
838	2060	395
839	2061	392
840	2062	389
841	2063	387
842	2065	384
843	2071	382
844	2073	380
845	2074	377
846	2075	374
847	2077	372
848	2078	369
849	2079	366
850	2080	364
851	2089	363
852	2091	360
853	2092	357
854	2093	355
855	2095	352
856	2100	350
857	2102	347
858	2103	345
859	2105	342
860	2106	340
861	2107	337
862	2109	334
863	2111	332
864	2119	330
865	2121	328
866	2122	325
867	2123	322
868	2124	320
869	2125	317
870	2127	315
871	2134	313
872	2135	310
873	2137	308
874	2138	305
875	2139	302
876	2140	300
877	2141	297
878	2143	295
879	2152	293
880	2153	290
881	2154	288
882	2155	285
883	2156	283
884	2158	280
885	2163	278
886	2166	275
887	2167	273
888	2168	270
889	2170	268
890	2171	265
891	2172	263
892	2173	260
893	2181	258
894	2182	256
895	2184	253
896	2185	250
897	2186	248
898	2188	245
899	2189	243
900	2195	241
901	2197	238
902	2198	236
903	2199	233
904	2201	231
905	2202	228
906	2203	225
907	2204	223
908	2217	221
909	2221	219
910	2223	217
911	2224	214
912	2226	212
913	2227	209
914	2228	207
915	2229	204
916	2230	201
917	2232	199
918	2234	196
919	2235	194
920	2236	191
921	2237	189
922	2238	186
923	2239	184
924	2241	181
925	2245	179
926	2248	177
927	2249	174
928	2251	172
929	2252	169
930	2253	167
931	2254	164
932	2256	162
933	2257	159
934	2267	157
935	2268	155
936	2269	152
937	2271	150
938	2272	147
939	2278	145
940	2279	142
941	2281	140
942	2282	137
943	2283	135
944	2284	132
945	2285	130
946	2287	128
947	2288	125
948	2291	123
949	2292	120
950	2294	118
951	2295	115
952	2297	113
953	2303	111
954	2305	108
955	2306	106
956	2308	103
957	2309	101
958	2311	98
959	2321	96
960	2322	94
961	2323	91
962	2324	89
963	2326	86
964	2327	84
965	2333	82
966	2334	79
967	2336	77
968	2337	74
969	2338	72
970	2339	69
971	2341	67
972	2342	64
973	2351	62
974	2352	60
975	2353	57
976	2354	55
977	2356	53
978	2357	50
979	2358	48
980	2364	45
981	2366	43
982	2368	40
983	2369	38
984	2371	36
985	2372	33
986	2373	31
987	2377	28
988	2378	26
989	2379	24
990	2381	21
991	2382	19
992	2389	16
993	2390	14
994	2392	12
995	2393	9
996	2394	7
997	2396	4
998	2398	2
999	2406	0
